# xterm patch-410 X resource compatibility baseline
# Generated from the active resource tables in the neighboring patch-410 build.
# scope<TAB>resource name<TAB>resource class<TAB>compiled default
vt100	answerbackString	AnswerbackString	
vt100	boldFont	BoldFont	<unset>
vt100	charClass	CharClass	<unset>
vt100	colorEvents	ColorEvents	<unset>
vt100	decTerminalID	DecTerminalID	420
vt100	defaultString	DefaultString	#
vt100	disallowedColorOps	DisallowedColorOps	SetColor,GetColor,GetAnsiColor
vt100	disallowedFontOps	DisallowedFontOps	SetFont,GetFont
vt100	disallowedMouseOps	DisallowedMouseOps	*
vt100	disallowedPasteControls	DisallowedPasteControls	BS,DEL,ENQ,EOT,ESC,NUL,STTY
vt100	disallowedTcapOps	DisallowedTcapOps	SetTcap,GetTcap
vt100	disallowedWindowOps	DisallowedWindowOps	GetIconTitle,GetWinTitle,GetChecksum,SetSelection,GetSelection,SetXprop
vt100	eightBitMeta	EightBitMeta	true
vt100	eightBitSelectTypes	EightBitSelectTypes	<unset>
vt100	font	Font	fixed
vt100	geometry	Geometry	<unset>
vt100	keyboardDialect	KeyboardDialect	B
vt100	printerCommand	PrinterCommand	
vt100	tekGeometry	Geometry	<unset>
vt100	pointerFont	PointerFont	<unset>
vt100	cursorColor	CursorColor	XtDefaultForeground
vt100	foreground	Foreground	XtDefaultForeground
vt100	pointerColor	PointerColor	XtDefaultForeground
vt100	background	Background	XtDefaultBackground
vt100	pointerColorBackground	Background	XtDefaultBackground
vt100	resizeGravity	ResizeGravity	SouthWest
vt100	pointerShape	Cursor	xterm
vt100	logInhibit	LogInhibit	false
vt100	logging	Logging	false
vt100	logFile	Logfile	<unset>
vt100	activeIcon	ActiveIcon	default
vt100	iconBorderWidth	BorderWidth	2
vt100	iconFont	IconFont	nil2
vt100	iconBorderColor	BorderColor	XtDefaultBackground
vt100	cursorBlinkXOR	CursorBlinkXOR	true
vt100	cursorBlink	CursorBlink	false
vt100	cursorUnderLine	CursorUnderLine	false
vt100	cursorBar	CursorBar	false
vt100	showBlinkAsBold	CursorBlink	false
vt100	cursorOnTime	CursorOnTime	600
vt100	cursorOffTime	CursorOffTime	300
vt100	forceBoxChars	ForceBoxChars	false
vt100	forcePackedFont	ForcePackedFont	true
vt100	assumeAllChars	AssumeAllChars	true
vt100	showMissingGlyphs	ShowMissingGlyphs	true
vt100	brokenStringTerm	BrokenStringTerm	false
vt100	allowC1Printable	AllowC1Printable	false
vt100	useClipping	UseClipping	true
vt100	useBorderClipping	UseBorderClipping	false
vt100	fontDoublesize	FontDoublesize	true
vt100	cacheDoublesize	CacheDoublesize	8
vt100	checksumExtension	ChecksumExtension	0
vt100	highlightColor	HighlightColor	XtDefaultForeground
vt100	highlightTextColor	HighlightTextColor	XtDefaultBackground
vt100	highlightReverse	HighlightReverse	true
vt100	highlightColorMode	HighlightColorMode	false
vt100	openIm	OpenIm	true
vt100	inputMethod	InputMethod	<unset>
vt100	preeditType	PreeditType	OverTheSpot,Root
vt100	retryInputMethod	RetryInputMethod	3
vt100	boldColors	ColorMode	true
vt100	veryBoldColors	VeryBoldColors	0
vt100	colorMode	ColorMode	true
